sku,description
201-White-L,"Scoop Neck, Short Sleeve, White, L"
201-White-M,"Scoop Neck, Short Sleeve, White, M"
201-White-S,"Scoop Neck, Short Sleeve, White, S"
201-White-XL,"Scoop Neck, Short Sleeve, White, XL"
201-White-XS,"Scoop Neck, Short Sleeve, White, XS"
202-Black-L,"Scoop Neck, Long Sleeve, Black, L"
202-Black-M,"Scoop Neck, Long Sleeve, Black, M"
202-Black-S,"Scoop Neck, Long Sleeve, Black, S"
202-Black-XL,"Scoop Neck, Long Sleeve, Black, XL"
202-Black-XS,"Scoop Neck, Long Sleeve, Black, XS"
202-Chili Pepper Red-L,"Modest Scoop, Long Sleeve, Chili Pepper Red, L"
202-Java-XS,"Modest Scoop, Long Sleeve, Java, XS"
202-Natural-L,"Scoop Neck, Long Sleeve, Natural, L"
202-Natural-M,"Scoop Neck, Long Sleeve, Natural, M"
202-Natural-S,"Scoop Neck, Long Sleeve, Natural, S"
202-Natural-XL,"Scoop Neck, Long Sleeve, Natural, XL"
202-Natural-XS,"Scoop Neck, Long Sleeve, Natural, XS"
202-Navy-L,"Scoop Neck, Long Sleeve, Navy, L"
202-Navy-M,"Scoop Neck, Long Sleeve, Navy, M"
202-Navy-S,"Scoop Neck, Long Sleeve, Navy, S"
202-Navy-XL,"Scoop Neck, Long Sleeve, Navy, XL"
202-Navy-XS,"Scoop Neck, Long Sleeve, Navy, XS"
202-White-L,"Scoop Neck, Long Sleeve, White, L"
202-White-M,"Scoop Neck, Long Sleeve, White, M"
202-White-S,"Scoop Neck, Long Sleeve, White, S"
202-White-XL,"Scoop Neck, Long Sleeve, White, XL"
202-White-XS,"Scoop Neck, Long Sleeve, White, XS"
230-Black-L,"Scoop, 3/4th Sleeve, Black, L"
230-Black-M,"Scoop, 3/4th Sleeve, Black, M"
230-Black-S,"Scoop, 3/4th Sleeve, Black, S"
230-Black-XL,"Scoop, 3/4th Sleeve, Black, XL"
230-Black-XS,"Scoop, 3/4th Sleeve, Black, XS"
230-FuchsiaPurple-L,"Scoop, 3/4th Sleeve, Fuchsia Purple, L"
230-FuchsiaPurple-M,"Scoop, 3/4th Sleeve, Fuchsia Purple, M"
230-FuchsiaPurple-S,"Scoop, 3/4th Sleeve, Fuchsia Purple, S"
230-FuchsiaPurple-XL,"Scoop, 3/4th Sleeve, Fuchsia Purple, XL"
230-FuchsiaPurple-XS,"Scoop, 3/4th Sleeve, Fuchsia Purple, XS"
230-SlateGray-L,"Scoop, 3/4th Sleeve, Slate Gray, L"
230-SlateGray-M,"Scoop, 3/4th Sleeve, Slate Gray, M"
230-SlateGray-S,"Scoop, 3/4th Sleeve, Slate Gray, S"
230-SlateGray-XL,"Scoop, 3/4th Sleeve, Slate Gray, XL"
230-SlateGray-XS,"Scoop, 3/4th Sleeve, Slate Gray, XS"
230-White-L,"Scoop, 3/4th Sleeve, White, L"
