order_id,total_each_sku,sku,product_unit_price
3049,1,101-Natural-M,39.00
3049,1,202-Natural-M,69.00
3058,1,101-Natural-M,39.00
3058,1,230-Fuchsia Purple-M,69.00
3919,1,230-Black-XL,80.00
3919,1,302-Bluestone-XL,80.00
4109,1,2001-Black-M,83.96
4109,1,302-Black-L,86.13
4107,1,202-Black-XS,80.00
4107,1,202-Natural-XS,80.00
2519,1,801-Black-L,68.00
2521,1,802-Black-XL,76.00
2522,1,801-Black-M,68.00
2522,1,801-White-M,68.00
2523,1,2001-Black-XS,92.58
2523,1,801-White-XS,73.20
2520,1,501-Black-L,67.00
2520,1,501-White-L,67.00
2520,1,402-White-L,74.00
2822,1,401-Black-XL,67.00
2817,1,401-Black-M,67.00
2816,2,401-Black-M,67.00
3609,1,202-Black-S,80.00
3609,1,202-Navy-S,80.00
3609,1,9001-White-XL,84.00
3609,1,9001-Black-XL,84.00
3612,1,402-Black-M,80.00
3612,1,802-Navy-M,84.00
3612,1,402-Ivory-M,80.00
3612,1,9001-White-XXL,84.00
3621,1,402-Black-XS,80.00
3621,1,402-White-XS,80.00
3621,1,802-Black-XS,84.00
3621,1,802-SlateGray-XS,84.00
3923,1,802-White-S,84.00
3923,3,302-White-XS,80.00
3923,1,202-White-XS,80.00
3618,1,202-Natural-S,80.00
3618,1,202-Black-M,80.00
3618,1,302-SlateGray-M,80.00
3618,1,2000-ChiliPepperRed-S,118.00
3630,1,202-Black-XS,80.00
3630,1,202-White-XS,80.00
3630,1,302-White-XS,80.00
3630,1,202-Navy-XS,80.00
3630,1,402-SlateGray-XS,80.00
3630,1,230-White-XS,80.00
3630,1,230-SlateGray-XS,80.00
3630,2,9001-Black-L,84.00
3924,1,202-Navy-S,80.00
3924,1,202-White-S,80.00
3610,1,402-White-S,86.12
3610,1,402-Navy-XS,86.12
3614,1,302-SlateGray-S,80.00
3614,1,230-White-S,80.00
3626,1,402-Black-S,80.00
3626,1,402-White-S,80.00
3628,1,402-Black-XS,80.00
3628,1,402-Black-S,80.00
3629,1,402-White-L,80.00
3629,1,402-Navy-L,80.00
3616,1,802-White-L,84.00
3616,1,802-Navy-L,84.00
3617,1,9001-White-M,90.43
3617,1,9001-Black-M,90.43
3921,1,1001-Black-M,64.00
3921,1,402-Black-M,80.00
3921,1,402-Ivory-M,80.00
3926,1,1041-Black-XS,89.00
3926,1,230-FuchsiaPurple-XS,69.00
3926,1,230-SlateGray-XS,80.00
3926,1,202-Navy-XS,80.00
3922,1,1041-Black-M,89.00
3922,1,401-Black-M,74.00
3922,1,402-ChiliPepperRed-M,80.00
3922,1,302-SlateGray-L,80.00
3925,1,2001-White-M,78.00
3925,1,2001-Navy-M,78.00
3925,1,802-ChiliPepperRed-M,84.00
3925,1,802-Navy-M,84.00
4232,1,401-Ivory-S,74.00
4232,1,401-Natural-S,74.00
4232,1,402-Black-S,80.00
4227,2,802-Black-M,86.43
4227,1,402-Black-M,82.32
4235,1,802-Navy-M,84.00
4235,1,802-White-M,84.00
4235,1,402-Black-M,80.00
4228,1,802-White-L,84.00
4228,1,802-Black-L,84.00
4228,1,802-Ivory-L,84.00
3239,2,302-White-S,74.00
3239,1,402-Black-S,74.00
3239,1,802-Black-S,76.00
3239,1,802-SlateGray-S,76.00
3228,1,401-Natural-L,35.00
3228,1,402-Java-L,74.00
3228,1,501-Navy-L,67.00
3228,1,802-Black-L,76.00
3228,1,301-Navy-L,67.00
3228,1,802-SlateGray-L,76.00
3227,2,202-Natural-S,69.00
3227,2,201-White-S,67.00
3227,2,202-White-S,74.00
3229,1,202-Black-XS,74.00
3241,1,202-Black-XS,74.00
3237,1,802-Black-XL,76.00
3236,1,802-Navy-XS,76.00
3235,1,802-Black-M,76.00
