customer_id,city,state,zip
1654,Denver,CO,80246
1435,Denver,CO,80210
869,Portland,OR,97201
1315,Egg Harbor,WI,54209
1571,"Northbrook, IL",IL,60062
1451,Breckenridge,CO,80424
2,Denver,CO,80224
1390,Los Altos,CA,94024
9016,Santa Fe,NM,87507
658,juno beach,FL,33408
1659,atherton,CA,94027
602,New HOpe,PA,18938
697,Los Angeles,CA,90038
914,Bronxville,NY,10708
1172,Woodland Hills,CA,91367
576,floral park,NY,11002
915,Long Beach,CA,90803
909,Simi Valley,CA,93063
934,Renton,WA,98055
572,Los Angeles,CA,90069
743,saint petersburg,FL,33704
685,Poulsbo,WA,98370
1156,Youngstown,NY,14174
727,woodland hills,CA,91367
655,Kelso,WA,98626
566,Los Angeles,CA,90026
625,Colorado Springs,CO,80909
913,new york,NY,10013
948,new york,NY,10019
1171,Park City,UT,84098
569,bethlehem,PA,18015
734,Pacific Palisades,CA,90272
701,Garden City,NY,11530
723,Scottsdale,AZ,85258
938,Canton,MI,48187
923,Madison,CT,06443
744,Encino,CA,91436
645,Birmingham,AL,35259
661,Minneapolis ,MN,55401
615,Winter Park,FL,32789
912,Port Jervis,NY,12771
894,Elk Grove,CA,95624
330,Pelican Rapids,MN,56572
940,fayetteville,GA,30215
905,Hermosa Beach,CA,90254
594,Playa Vista,CA,90094
1032,Cambridge,MA,02139
643,Youngstown,NY,14174
588,PISCATAWAY,NJ,08854
895,Southampton,NY,11968
1167,South Bend,IN,46613
567,mountain view,CA,94041
281,Cranford,NJ,07016
592,pacific palisades,CA,90272
953,Encino,CA,91316
1125,Avon,CT,06001
302,Wheat Ridge,CO,80033
600,Fort Worth,TX,76053
590,Hilton Head,SC,29926
927,Los Angeles ,CA,90026
1111,brooklyn,NY,11238
1173,Antioch,CA,94531
580,Los Angeles,CA,90028
644,ames,IA,50010
916,San dimas ,CA,91773
1129,Salt Lake City,UT,84103
607,Madison,CT,06443
578,Boston,MA,02116
1130,Louisville ,KY,40220
571,jupiter,FL,33458
611,new york,NY,10107
926,Madison,WI,53705
616,Coral Springs,FL,33067
582,Danville,CA,94506
603,Little Rock,AR,72204
334,Dobbs Ferry,NY,10522
568,Los Angeles ,CA,90046
903,Montgomery,IL,60538
596,Coral Springs,FL,33071
933,Los Angeles,CA,90020
575,Maplewood,NJ,07040
595,RICHMOND,VA,23219
1150,New York,NY,10029
717,San Diego,CA,92138
899,Briarcliff Manor,NY,10510
900,Austin,TX,78750
996,Montclair,NJ,07042
930,Los Angeles,CA,90065
679,Montgomery,IL,60538
897,weston,FL,33326
901,Upper Montclair,NJ,07043
1434,Denver,CO,80211
892,Cambridge,MA,02138
1396,Charlotte,NC,28277
1356,Stamford,CT,06903
1382,Camarillo,CA,93012
1418,Centennial,CO,80112
584,Upper Saddle River,NJ,07458
562,New York,NY,10028
1155,Santa Fe,NM,87506
795,Fort Worth,TX,76116
519,Imperial Beach,CA,91932
1374,Wheaton,IL,60187
1506,Austin,TX,78731
322,Lafayette,CA,94549
1004,Norwood,NJ,07648
1493,Boca Raton,FL,33496
1334,Golden,CO,80402
1298,Denver,CO,80238
5,Summerville,SC,29483
1353,Golden,CO,80403
838,san anselmo,CA,94960
633,Emerald Hills,CA,94062
1162,Carlsbad,CA,92009
1289,carthage,TN,37030
543,Lebanon,NJ,08833
1258,SHORELINE,WA,98177
1408,Bloomfield Hills,MI,48302
700,Huntington,NY,11743
1613,Houston,TX,77098
865,Grayslake,IL,60030
724,San rafael,CA,94903
1401,Houston,TX,77005
1394,Arvada,CO,80003
632,San Rafael,CA,94903
1101,Saint Louis,MO,63105
1335,Rochester,NY,14626f
1174,Fort Lauderdale,FL,33316
81,Boulder,CO,80304
87,Denver,CO,80210
1417,Potomac,MD,20854
1342,Del Mar,CA,92014
1363,Whitefish Bay,WI,53211
1351,Denver,CO,80247
1389,Saint Louis,MO,63117
1371,Henderson,NV,89012
1409,Charlotte,NC,28211
1330,Atlanta,GA,31126
1391,Las Vegas,NV,89134
1365,Castle Rock,CO,80108
1332,Piedmont,CA,94611
622,Carmel,CA,93921
1387,Sunnyvale,CA,94087
1415,Chicago,IL,60610
1331,tiburon,CA,94920
1414,Denver,CO,80210
1381,Daly City,CA,94015
1411,Cupertino,CA,95014
799,Tiburon,CA,94920
1562,Denver,CO,80237
1468,Palo Alto,CA,94301
1499,Alpharetta,GA,30005
720,New York,NY,10022
1452,Sedona,AZ,86351
1569,New Hartford,NY,13413
1477,Inverness,IL,60067
1139,Longmont ,CO,80504
765,Shelley,ID,83274
829,Stamford,CT,06903
1523,Monument,CO,80132
1475,Delray Beach,FL,33484
1196,Los Altos,CA,94022
1573,Pleasanton,TX,78064
1530,Highlands Ranch,CO,80126
1536,Glencoe,IL,60022
1553,Denver,CO,80210
626,Centennial,CO,80122
443,Cherry Hills Village,CO,80113
613,Windsor,CO,80550
608,Denver,CO,80206
9003,Church Hill,MD,21623
1515,Randolph,NJ,07869
84,Charlotte,NC,28207
798,denver,CO,80210
797,Philadelphia,PA,19106
709,Seattle,WA,98136
9076,Highlands Ranch,CO,80129
1610,Palo Alto,CA,94301
503,Matthews,NC,28104
100,Angwin,CA,94508
1354,Sacramento,CA,95864
1481,Denver,CO,80207
12,Burlington,NC,27217
1596,Bainbridge Is,WA,98110
1001,Boca raton,Fl,33496
1345,Los Altos,CA,94024
1098,Denton,TX,76209
